nhgis0003_ds215_20155_2015_zcta,,
GISJOIN,NAME_E,ADNKE001
GIS Join Match Code,Estimates: Area Name,Estimates: Median household income in the past 12 months (in 2015 inflation-adjusted dollars)
G04571,4571,53056
G04572,4572,43083
G04573,4573,60167
G04574,4574,48875
G04575,4575,235104
G04576,4576,50833
G04578,4578,43669
G04579,4579,68843
G04605,4605,47258
G04606,4606,44828
G04607,4607,44074
G04609,4609,46812
G04611,4611,33750
G04612,4612,45735
G04613,4613,44107
G04614,4614,52162
G04616,4616,50714
G04617,4617,66477
G04619,4619,33906
G04622,4622,40483
G04623,4623,43125
G04624,4624,24444
G04625,4625,41667
G04626,4626,45179
G04627,4627,42083
G04628,4628,41667
G04629,4629,30785
G04630,4630,42885
G04631,4631,32188
G04634,4634,37917
G04635,4635,66250
G04637,4637,43333
G04640,4640,41404
G04642,4642,83036
G04643,4643,43409
G04644,4644,
G04645,4645,40750
G04646,4646,61250
G04648,4648,35833
G04649,4649,32961
G04650,4650,56667
G04652,4652,37083
G04653,4653,32500
G04654,4654,37500
G04655,4655,48654
G04657,4657,45417
G04658,4658,33816
G04660,4660,66635
G04662,4662,51958
G04664,4664,40795
G04666,4666,36979
G04667,4667,38462
G04668,4668,26250
G04669,4669,53000
G04671,4671,53750
G04673,4673,37500
G04674,4674,46974
G04675,4675,87721
G04676,4676,35750
G04677,4677,47750
G04679,4679,46518
G04680,4680,36343
G04681,4681,42083
G04683,4683,
G04684,4684,53594
G04685,4685,53438
G04686,4686,26750
G04691,4691,53393
G04693,4693,38542
G04694,4694,48143
G04730,4730,35240
G04732,4732,38935
G04733,4733,43500
G04734,4734,44231
G04735,4735,33906
G04736,4736,35833
G04739,4739,31467
G04740,4740,36136
G04741,4741,
G04742,4742,32043
G04743,4743,38955
G04745,4745,42454
G04746,4746,30278
G04747,4747,39018
G04750,4750,35391
G04756,4756,35612
G04757,4757,51053
G04758,4758,38281
G04760,4760,36510
G04761,4761,41250
G04762,4762,43250
G04763,4763,36979
G04764,4764,38036
G04765,4765,38375
G04766,4766,50179
G04768,4768,50139
G04769,4769,36538
G04772,4772,35078
G04773,4773,
G04774,4774,25000
G04776,4776,38558
G04777,4777,30536
G04779,4779,43654
G04780,4780,46875
G04781,4781,38889
G04783,4783,40536
G04785,4785,25536
G04786,4786,45489
G04787,4787,38462
G04841,4841,39077
G04843,4843,53527
G04847,4847,55938
G04848,4848,58421
G04849,4849,51131
G04851,4851,
G04852,4852,41250
G04853,4853,55577
G04854,4854,55048
G04855,4855,73250
G04856,4856,59269
G04858,4858,48889
G04859,4859,52644
G04860,4860,57371
G04861,4861,43714
G04862,4862,52106
G04863,4863,60526
G04864,4864,60000
G04901,4901,36911
G04910,4910,40438
G04911,4911,35750
G04912,4912,36354
G04915,4915,36060
G04917,4917,70040
G04918,4918,27941
G04920,4920,32784
G04921,4921,37250
G04922,4922,31759
G04923,4923,32614
G04924,4924,46207
G04925,4925,43000
G04926,4926,
G04927,4927,46378
G04928,4928,42813
G04929,4929,39091
G04930,4930,35264
G04932,4932,49800
G04933,4933,
G04936,4936,40469
G04937,4937,42212
G04938,4938,39931
G04939,4939,37167
G04940,4940,
G04941,4941,44297
